property_name,property_locality,location,property_city,price,feature,property_type,property_size_in_sqft,property_size_in_sqm,bedrooms,bathrooms
Standpoint Tower 1,Standpoint Towers,Downtown Dubai,Dubai,"3,450,000",Upgraded | Vacant | OPEN HOUSE 11 APRIL,Apartment,1234,115,2,3
Harmony 3,Harmony,Tilal Al Ghaf,Dubai,"14,200,000",Corner Plot | PV  Villa | Park Backing |,Villa,5709,530,5  + Maid,7
The Address Residences Dubai Opera Tower 1,The Address Residences Dubai Opera,Downtown Dubai,Dubai,"3,250,000",High Floor | Vacant | Motivated Seller,Apartment,801,74,1,1
Apartment Building 10,Bluewaters Residences,Bluewaters,Dubai,"5,600,000",Priced to Sell | View Today | Exclusive,Apartment,1482,138,2,3
The Pulse Beachfront,The Pulse,Dubai South (Dubai World Central),Dubai,"3,500,000",Vastu | Corner Unit | Single Row,Townhouse,2561,238,3  + Maid,5
Burj Views B,Burj Views,Downtown Dubai,Dubai,"1,475,000",Furnished|High Floor|No Balcony|Vacant,Apartment,716,67,1,1
Signature Villas Frond D,Signature Villas,Palm Jumeirah,Dubai,,RARE - Huge Extended and Upgraded Signature Villa,Villa,16425,1526,6  + Maid,7
Meadows 9,,Meadows,Dubai,"15,999,999","Huge 11,800 Sq Ft Plot | VOT | 4 Bed Family Home",Villa,4018,373,4  + Maid,4
Mira 3,Mira,Reem,Dubai,"4,350,000",VACANT NOW | 1E | BEST LOCATION | LARGEST LAYOUT,Villa,2687,250,4,3
Camelia 1,Camelia,Arabian Ranches 2,Dubai,"3,350,000",Community Expert | Single Row | Prime Location,Villa,1988,185,3  + Maid,4
Talia,,The Valley,Dubai,"2,750,000",Single Row | Park Facing | Vastu Compliant,Townhouse,2100,195,3,3
Park Residence 1,Park Residences,DAMAC Hills,Dubai,"2,950,000",Brand new | Prime location | Handover soon,Townhouse,1490,138,3,3
The Pulse Beachfront,The Pulse,Dubai South (Dubai World Central),Dubai,"5,550,000",Mortgage Ready | Motivated Seller | Near Beach,Villa,4019,373,5  + Maid,7
Marina Residences 2,Marina Residences,Palm Jumeirah,Dubai,"4,200,000",2 Bed | Full Sea And Marina  Views | C Type,Apartment,1870,174,2,3
Harmony 3,Harmony,Tilal Al Ghaf,Dubai,"8,000,000",SINGLE ROW | BRAND NEW | GREEN BELT,Villa,4016,373,4  + Maid,5
The Centro,,The Villa,Dubai,"7,249,999",Mint Condition | Spacious Villa | On a large plot,Villa,5050,469,4,4
The Fairmont Palm Residence South,The Fairmont Palm Residences,Palm Jumeirah,Dubai,"17,000,000",4 Beds | Duplex Penthouse | Skyline Views | Vacant,Penthouse,4908,456,4,4
Azalea,,Arabian Ranches 2,Dubai,"6,200,000",Community Expert | Vacant Soon | Prime Location,Villa,3052,284,3  + Maid,4
Marina Residences 3,Marina Residences,Palm Jumeirah,Dubai,"3,650,000",Full Sea View | 2 Bedroom | Great Location,Apartment,1870,174,2,3
Savannah 1,Savannah,Arabian Ranches,Dubai,"14,750,000",5 Bedrooms | Golf View | Exclusive,Villa,5490,510,5,4
Jumeirah Gate Tower 1,The Address Jumeirah Resort and Spa,Jumeirah Beach Residence,Dubai,"7,950,000",Large Layout | Sea View from Every Room,Apartment,1477,137,2,3
Murooj Al Furjan,,Al Furjan,Dubai,"7,500,000",Vacant | Large Layout | Vastu Compliant Villa,Villa,4042,376,4  + Maid,5
Al Jazi,Madinat Jumeirah Living,Umm Suqeim,Dubai,"1,980,000",Rare Unit | Huge Private Terrace | Garden View,Apartment,995,92,1,2
Jadeel 3,Madinat Jumeirah Living,Umm Suqeim,Dubai,"4,500,000",Brand New I Community View I Prime Location,Apartment,1115,104,2,3
MAG Eye,District 7,Mohammed Bin Rashid City,Dubai,"1,400,000",Corner|Vacant |Pool &amp; Community view|Brand New,Apartment,752,70,1,2
Lamaa,Madinat Jumeirah Living,Umm Suqeim,Dubai,"1,920,000",Exclusive I Multiple Units I High ROI,Apartment,738,69,1,1
Mira 2,Mira,Reem,Dubai,"4,390,000",PRIME LOCATION | VOT | VIEW TODAY | 1E,Villa,2687,250,4,3
Bahar 2,Bahar,Jumeirah Beach Residence,Dubai,"2,200,000",BEST PRICE / MIDDLE FLOOR / HIGH ROI / VACANT,Apartment,1516,141,2  + Maid,3
